14:44:45	Temperatur:	20,31	Luftdruck: 	102231,05	Dynamischer Druck: 1,25
HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	HD16	HD17	HD18	HD19	HD20	HD21	HD22	HD23	HD24	
1.927141E-2	3.151014E-3	-2.393125E-2	-1.035660E-1	-2.554329E-2	1.875376E+0	1.185603E-2	3.345736E-2	1.927141E-2	-1.738172E+0	2.001423E-1	-3.954732E-4	6.052685E-3	-2.329921E-3	8.954356E-3	-1.006771E-2	-8.455671E-3	-1.845032E-2	-1.264697E-2	-1.683828E-2	-2.038476E-2	-3.037941E-2	-2.296403E-2	2.828606E-3
-1.232457E-2	3.151014E-3	1.056640E-2	2.765401E-2	3.151014E-3	-1.678205E+0	-2.102958E-2	6.053962E-2	1.121121E-2	-4.636955E-1	-1.973995E-2	1.216566E-3	6.375093E-3	6.697501E-3	9.599172E-3	7.342317E-3	-7.810855E-3	-1.909513E-2	-1.264697E-2	-6.843631E-3	-1.716068E-2	-2.651051E-2	-3.650516E-2	-2.747774E-2
8.631948E-3	1.216566E-3	1.024399E-2	8.600985E-2	-9.100486E-3	1.134159E+0	2.926605E-2	2.249549E-2	1.379047E-2	2.282257E+0	1.404968E-1	-3.619552E-3	7.342317E-3	-2.007513E-3	5.730277E-3	2.493426E-4	-8.455671E-3	-1.845032E-2	-1.264697E-2	-2.102958E-2	-1.716068E-2	-4.166368E-2	-4.230850E-2	-2.780014E-2
1.861382E-3	6.052685E-3	3.377977E-2	9.987339E-2	2.506198E-3	-9.408588E-1	-7.166039E-3	8.052891E-2	-2.586570E-2	-1.118505E+0	2.243229E-1	-2.007513E-3	6.697501E-3	7.342317E-3	2.668679E-2	1.604733E-2	-7.810855E-3	-1.780550E-2	-1.329179E-2	-2.780014E-2	-2.070717E-2	-2.328643E-2	-4.005164E-2	-2.974736E-3
7.342317E-3	2.828606E-3	-5.198074E-2	-2.135199E-2	-1.296938E-2	3.374881E-1	6.021721E-2	1.894900E-2	3.023328E-2	-1.059827E+0	-1.390309E-1	-3.954732E-4	3.473422E-3	-9.745302E-3	5.407869E-3	-6.843631E-3	-9.100486E-3	-1.812791E-2	-1.200216E-2	-3.005700E-2	-2.199680E-2	-2.715533E-2	-3.714997E-2	1.572492E-2
8.309540E-3	5.717505E-4	-3.941960E-3	-9.292654E-2	1.604733E-2	-2.409117E-1	-3.650516E-2	6.795501E-2	1.475770E-2	2.766838E+0	-6.939076E-2	-2.329921E-3	6.697501E-3	5.717505E-4	-1.685105E-3	2.183790E-3	-8.133263E-3	-1.877272E-2	-1.296938E-2	-1.264697E-2	-2.135199E-2	-3.360349E-2	-4.521017E-2	-2.522088E-2
-8.778079E-3	3.473422E-3	-3.297144E-3	6.311889E-2	-1.619346E-2	-4.362908E-1	4.440645E-3	1.540251E-2	-8.455671E-3	-5.346252E-1	-1.196864E-1	-2.329921E-3	6.052685E-3	3.473422E-3	7.987132E-3	1.508011E-2	-7.810855E-3	-1.877272E-2	-1.167975E-2	-3.005700E-2	-1.619346E-2	-3.037941E-2	-4.198609E-2	-4.198609E-2
1.572492E-2	-7.178811E-4	9.955098E-2	1.098680E-1	2.700920E-2	4.345329E-1	5.717505E-4	7.085668E-2	9.276764E-3	-1.677237E+0	-8.970246E-2	-1.040289E-3	3.473422E-3	-9.745302E-3	1.411288E-2	1.056640E-2	-8.778079E-3	-1.716068E-2	-1.361420E-2	-4.909184E-3	-1.748309E-2	-2.102958E-2	-3.295867E-2	-3.843960E-2
-3.908442E-2	1.861382E-3	-6.133056E-2	-5.584963E-2	2.410753E-2	-1.223933E+0	-3.457071E-2	2.378512E-2	3.151014E-3	2.375755E+0	5.717505E-4	-7.178811E-4	6.052685E-3	-4.264368E-3	1.217844E-2	7.987132E-3	-8.455671E-3	-1.812791E-2	-1.232457E-2	-2.908978E-2	-2.102958E-2	-3.908442E-2	-4.649980E-2	-3.619552E-3
2.281790E-2	3.473422E-3	8.954356E-3	-8.389912E-2	1.733696E-2	1.100951E+0	1.216566E-3	5.118979E-2	-4.909184E-3	4.474163E-2	3.797107E-2	-3.619552E-3	8.631948E-3	-1.362697E-3	2.183790E-3	-1.973995E-2	-8.455671E-3	-1.812791E-2	-1.296938E-2	-1.393660E-2	-2.199680E-2	-1.845032E-2	-3.295867E-2	3.473422E-3
