14:51:32	Temperatur:	20,28	Luftdruck: 	102236,53	Dynamischer Druck: 140,79
HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	HD16	HD17	HD18	HD19	HD20	HD21	HD22	HD23	HD24	
6.053962E-2	7.987132E-3	-2.952036E+0	2.485035E-1	-9.592360E-1	1.972421E+0	-2.444582E-1	2.317383E-1	5.247942E-2	-1.907759E+0	3.797107E-2	8.941584E-4	5.407869E-3	-1.960970E-1	-1.042108E-1	-4.601490E-1	-9.100486E-3	-1.845032E-2	-1.361420E-2	6.753718E-1	-1.716068E-2	7.769304E-1	5.035283E-1	7.311353E-2
-8.099744E-2	4.440645E-3	-6.803535E-1	1.753169E-1	-2.499391E-1	-1.168801E+0	-1.071111E+0	1.343710E-1	7.664724E-3	2.132336E+0	1.527483E-1	-2.974736E-3	7.342317E-3	-1.989987E-1	1.392072E-1	-5.130239E-1	-8.133263E-3	-1.877272E-2	-1.329179E-2	5.992835E-1	-1.748309E-2	6.434534E-1	5.879992E-1	2.659135E-1
-7.680614E-2	9.276764E-3	-1.645011E-1	5.115885E-1	1.620981E-1	-2.831472E-1	-1.133014E+0	-9.357135E-2	-2.007513E-3	-9.582688E-1	1.496224E+0	1.538974E-3	7.342317E-3	-5.391518E-2	2.088345E-2	-4.701436E-1	-9.745302E-3	-1.877272E-2	-1.264697E-2	1.094825E+0	-1.812791E-2	6.147591E-1	5.989611E-1	4.119643E-1
-7.809577E-2	3.473422E-3	-3.018468E-1	1.698359E-1	-3.940554E-1	1.022928E+0	9.903647E-1	5.860518E-2	-2.554329E-2	-4.362908E-1	1.074191E+0	-2.007513E-3	7.019909E-3	3.097610E-1	-1.329179E-2	-2.576769E-1	-1.071253E-2	-1.877272E-2	-1.361420E-2	7.988542E-1	-1.877272E-2	7.027765E-1	6.711805E-1	5.183590E-1
1.050319E-1	7.987132E-3	1.841523E+0	9.558670E-1	-5.620298E-1	-2.358162E+0	1.585853E+0	3.687617E-1	1.572492E-2	2.056570E+0	1.894399E+0	-3.954732E-4	5.407869E-3	3.565102E-1	-8.712319E-2	2.493426E-4	-1.006771E-2	-1.941754E-2	-1.329179E-2	3.684393E-1	-1.877272E-2	6.924594E-1	6.750494E-1	5.970266E-1
-7.487169E-2	1.538974E-3	3.587670E-1	6.375093E-3	-5.391518E-2	1.334052E+0	3.666684E+0	8.942870E-1	9.407005E-2	-2.636077E+0	1.348883E+0	-1.040289E-3	4.763053E-3	3.555429E-1	-2.538080E-1	6.182925E-2	-1.071253E-2	-1.845032E-2	-1.264697E-2	7.308260E-1	-1.941754E-2	5.028834E-1	5.489878E-1	5.902560E-1
-1.780550E-2	1.217844E-2	2.510827E-1	-4.356460E-1	1.907924E-1	-3.569785E-1	3.264961E+0	1.385315E+0	1.179282E-1	1.233138E+0	1.797031E+0	-2.974736E-3	1.217844E-2	4.819269E-1	-1.103366E-1	9.374764E-2	-1.039012E-2	-1.716068E-2	-1.361420E-2	1.159307E+0	-2.167439E-2	3.245918E-1	3.855269E-1	5.199711E-1
8.278577E-2	1.216566E-3	-3.157103E-1	-1.248449E-1	1.384348E+0	-1.199107E+0	2.610792E+0	1.614225E+0	2.175523E-1	-1.383860E-1	5.470534E-1	2.828606E-3	5.085461E-3	9.142763E-1	9.439246E-2	4.986921E-1	-1.167975E-2	-2.006235E-2	-1.393660E-2	6.624755E-1	-2.393125E-2	2.672031E-1	2.946078E-1	4.522654E-1
1.053543E-1	-7.178811E-4	-9.424708E-1	2.175523E-1	2.040112E-1	1.788648E+0	1.085153E+0	1.496868E+0	2.900941E-1	-1.149134E+0	1.807993E+0	-1.362697E-3	3.795830E-3	3.893958E-1	-9.776265E-2	1.306003E+0	-1.232457E-2	-2.006235E-2	-1.393660E-2	5.992835E-1	-2.360884E-2	3.284607E-1	3.142747E-1	4.077730E-1
1.550052E-1	-6.843631E-3	6.779511E-1	-2.276930E-1	7.840234E-1	-1.828446E+0	7.714495E-1	1.442381E+0	3.394225E-1	2.710739E+0	2.688152E-1	-2.007513E-3	4.440645E-3	6.850441E-1	-1.519272E-1	7.214762E-1	-1.103493E-2	-2.070717E-2	-1.329179E-2	2.701048E-1	-2.425366E-2	2.871924E-1	2.842908E-1	3.658600E-1
9.471486E-2	-1.040289E-3	5.834855E-1	-2.528408E-1	6.808527E-1	4.174453E-1	-2.554329E-2	1.146410E+0	3.900406E-1	-2.071542E+0	4.454948E-1	-7.178811E-4	8.941584E-4	5.438293E-1	6.818200E-1	8.372207E-1	-1.103493E-2	-1.877272E-2	-1.264697E-2	7.624220E-1	-2.328643E-2	3.281383E-1	3.055697E-1	3.568326E-1
-8.905764E-2	1.411288E-2	2.053008E-1	-7.906300E-2	4.435603E-1	4.274399E-1	1.389829E+0	1.220564E+0	3.871389E-1	5.718788E-1	3.449035E-1	-3.619552E-3	7.987132E-3	1.901476E-1	9.748891E-1	1.720928E-1	-1.006771E-2	-1.812791E-2	-1.329179E-2	3.655376E-1	-2.199680E-2	3.287831E-1	3.126627E-1	3.284607E-1
8.309540E-3	1.379047E-2	3.371657E-1	3.764866E-2	-4.759470E-1	-1.922912E+0	2.213906E+0	1.286336E+0	3.958439E-1	6.437758E-1	2.056232E-1	2.828606E-3	7.019909E-3	4.932112E-1	2.178747E-1	1.511363E-1	-9.422894E-3	-1.941754E-2	-1.264697E-2	-2.147967E-1	-1.909513E-2	7.185745E-1	5.873544E-1	4.377570E-1
9.342523E-2	6.052685E-3	4.509757E-1	-4.936794E-1	3.958311E-2	1.898267E+0	1.022606E+0	1.317609E+0	3.835924E-1	-1.861332E+0	-1.748309E-2	-1.685105E-3	5.407869E-3	4.570886E-2	6.847216E-1	1.785409E-1	-1.039012E-2	-2.038476E-2	-1.361420E-2	3.539180E-2	-1.877272E-2	1.024218E+0	8.855820E-1	6.096005E-1
1.037423E-1	-3.297144E-3	6.428086E-1	3.648928E-1	6.005731E-1	-9.756788E-1	1.591334E+0	1.433354E+0	4.151884E-1	2.418958E+0	9.616704E-1	-3.619552E-3	6.052685E-3	-8.067504E-2	6.221745E-1	4.019697E-1	-1.103493E-2	-2.006235E-2	-1.425901E-2	4.174453E-1	-1.845032E-2	7.388862E-1	7.711271E-1	6.605410E-1
1.047095E-1	-2.329921E-3	1.464628E+0	8.456034E-1	2.830011E-1	-4.894881E-1	1.295363E+0	1.395632E+0	4.745115E-1	-1.592444E+0	1.190903E+0	-1.685105E-3	3.795830E-3	-1.396757E-1	4.068058E-1	5.986387E-1	-1.167975E-2	-2.006235E-2	-1.264697E-2	1.192192E+0	-1.877272E-2	5.354467E-1	6.002507E-1	6.431310E-1
6.505333E-2	-2.329921E-3	1.023250E+0	4.367898E-1	-3.453719E-1	1.200253E+0	7.759632E-1	1.225723E+0	4.322761E-1	1.698359E-1	6.141142E-1	-2.974736E-3	7.019909E-3	-1.016315E-1	1.530707E-1	6.586066E-1	-1.200216E-2	-1.845032E-2	-1.329179E-2	1.505251E+0	-1.716068E-2	4.274399E-1	4.758012E-1	5.796166E-1
-5.327037E-2	1.861382E-3	2.538250E+0	2.304486E-1	-1.280690E-1	-2.368156E+0	1.469464E+0	1.286980E+0	4.838614E-1	1.160274E+0	5.692995E-1	3.473422E-3	6.697501E-3	-6.519946E-2	9.342523E-2	7.862802E-1	-1.071253E-2	-1.877272E-2	-1.232457E-2	1.676450E+0	-1.877272E-2	2.236781E-1	2.894493E-1	4.841838E-1
-9.647302E-2	6.052685E-3	2.477637E+0	-5.327037E-2	5.270640E-1	1.084186E+0	1.782200E+0	1.397567E+0	5.157798E-1	-2.199215E+0	4.390466E-1	-3.954732E-4	6.375093E-3	8.310818E-2	-2.708957E-1	7.011645E-1	-1.135734E-2	-1.845032E-2	-1.200216E-2	1.428195E+0	-1.845032E-2	8.246336E-2	1.411416E-1	3.648928E-1
-7.680614E-2	5.717505E-4	7.234106E-1	1.691603E+0	2.181971E-1	-1.564409E-1	2.565654E+0	1.638728E+0	5.193262E-1	2.047220E+0	4.774132E-1	-2.329921E-3	8.954356E-3	1.350159E-1	-1.258121E-1	2.501155E-1	-1.006771E-2	-1.780550E-2	-1.264697E-2	1.994990E+0	-1.812791E-2	-1.025988E-1	-3.521553E-2	2.172299E-1
-7.809577E-2	4.440645E-3	1.220242E+0	4.006801E-1	-2.286602E-1	-1.364502E+0	4.151884E-1	1.400146E+0	4.587135E-1	-1.193949E+0	4.384018E-1	5.717505E-4	6.052685E-3	3.023328E-2	-8.551115E-2	-2.241465E-1	-1.006771E-2	-1.845032E-2	-1.232457E-2	1.923738E+0	-2.102958E-2	-3.811720E-2	-4.714462E-2	1.337262E-1
